,active_sw,age,bats,birth_city,birth_country,birth_date,birth_state,college,death_city,death_country,death_date,death_state,end_date,file_code,gender,height_feet,height_inches,high_school,jersey_number,name_display_first_last,name_display_first_last_html,name_display_last_first,name_display_last_first_html,name_display_roster,name_display_roster_html,name_first,name_full,name_last,name_matrilineal,name_middle,name_nick,name_prefix,name_title,name_use,player_id,primary_position,primary_position_txt,primary_sport_code,primary_stat_type,pro_debut_date,start_date,status,status_code,status_date,team_abbrev,team_code,team_id,team_name,throws,twitter_id,weight
0,N,50,R,Zanesville,USA,1969-06-02T00:00:00,OH,St. Petersburg College,,,,,2001-11-05T00:00:00,atl,M,6,0,"Dixie M. Hollins, St. Petersberg, F",11,Kurt Abbott,Kurt Abbott,"Abbott, Kurt","Abbott, Kurt",Abbott,Abbott,Kurt,"Abbott, Kurt",Abbott,,Thomas,,,,Kurt,110011,6,SS,mlb,hitting,1993-09-07T00:00:00,2000-12-13T00:00:00,Free agent,FA,2001-11-05T00:00:00,ATL,atl,144,Atlanta Braves,R,,200
1,N,41,R,Santo Domingo,Dominican Republic,1977-12-18T00:00:00,,,,,,,2006-04-03T00:00:00,col,M,6,0,,30,Jose Acevedo,Jose Acevedo,"Acevedo, Jose","Acevedo, Jose",Acevedo,Acevedo,Jose,"Acevedo, Jose",Acevedo,,Omar,,,,Jose,406895,1,P,mlb,pitching,2001-06-19T00:00:00,2005-04-19T00:00:00,NRI,NRI,2005-04-19T00:00:00,COL,col,115,Colorado Rockies,R,,220
2,N,49,R,Ciudad Juarez,Mexico,1970-05-05T00:00:00,Chihuahua,Parkland College,,,,,2003-08-08T00:00:00,tor,M,6,2,"Dundee-Crown, Carpentersville, IL",57,Juan Acevedo,Juan Acevedo,"Acevedo, Juan","Acevedo, Juan",Acevedo,Acevedo,Juan,"Acevedo, Juan",Acevedo,,Carlos,,,,Juan,110032,1,P,mlb,pitching,1995-04-30T00:00:00,2003-06-23T00:00:00,Released,RL,2003-06-23T00:00:00,TOR,tor,141,Toronto Blue Jays,R,,245
3,Y,28,S,Santo Domingo,Dominican Republic,1991-07-26T00:00:00,,,,,,,2019-07-12T00:00:00,sf,M,6,0,,,Cristhian Adames,Cristhian Adames,"Adames, Cristhian","Adames, Cristhian",Adames,Adames,Cristhian,"Adames, Cristhian",Adames,,Pascual,El Chavo,,,Cristhian,542436,6,SS,mlb,hitting,2014-07-29T00:00:00,2019-07-12T00:00:00,Signed,MIN,2019-07-12T00:00:00,SF,sfn,137,San Francisco Giants,R,@Crisadams26,185
4,N,40,L,Phoenix,USA,1979-06-06T00:00:00,AZ,,,,,,2015-11-02T00:00:00,sf,M,6,4,"Northwest Christian, Colbert, WA",41,Jeremy Affeldt,Jeremy Affeldt,"Affeldt, Jeremy","Affeldt, Jeremy",Affeldt,Affeldt,Jeremy,"Affeldt, Jeremy",Affeldt,,David,,,,Jeremy,346793,1,P,mlb,pitching,2002-04-06T00:00:00,2015-07-22T00:00:00,Free agent,FA,2015-11-02T00:00:00,SF,sfn,137,San Francisco Giants,L,@JeremyAffeldt,225
5,N,47,R,Honolulu,USA,1971-12-28T00:00:00,HI,Hawaii Pacific,,,,,2002-12-31T00:00:00,bos,M,6,0,St. Louis (HI) HS,50,Benny Agbayani,Benny Agbayani,"Agbayani, Benny","Agbayani, Benny",Agbayani,Agbayani,Benny,"Agbayani, Benny",Agbayani,,Peter,Hawaiian Punch,,,Benny,133742,7,LF,mlb,hitting,1998-06-17T00:00:00,2002-09-06T00:00:00,Released,RL,2002-09-06T00:00:00,BOS,bos,111,Boston Red Sox,R,,225
6,N,51,L,Flint,USA,1968-06-12T00:00:00,MI,,,,,,2000-10-14T00:00:00,phi,M,6,3,"Montrose, MI",30,Scott Aldred,Scott Aldred,"Aldred, Scott","Aldred, Scott",Aldred,Aldred,Scott,"Aldred, Scott",Aldred,,Phillip,,,,Scott,110118,1,P,mlb,pitching,1990-09-09T00:00:00,1999-07-24T00:00:00,Released,RL,1999-07-24T00:00:00,PHI,phi,143,Philadelphia Phillies,L,,190
7,Y,40,R,Puerto La Cruz,Venezuela,1979-02-07T00:00:00,,,,,,,2013-02-21T00:00:00,la,M,5,11,"Antonio Luchetti, Arecibo, PR",30,Eliezer Alfonzo,Eliezer Alfonzo,"Alfonzo, Eliezer","Alfonzo, Eliezer","Alfonzo, G","Alfonzo, G",Eliezer,"Alfonzo, Eliezer",Alfonzo,,Jesus,,,,Eliezer,425769,2,C,mlb,hitting,2006-06-03T00:00:00,2012-12-14T00:00:00,NRI,NRI,2012-12-14T00:00:00,LAD,lan,119,Los Angeles Dodgers,R,,220
8,N,41,L,Covington,USA,1978-08-04T00:00:00,GA,,,,,,2007-04-01T00:00:00,la,M,6,2,Newton County (GA) HS,57,Luke Allen,Luke Allen,"Allen, Luke","Allen, Luke",Allen,Allen,Lucas,"Allen, Luke",Allen,,G.,,,,Luke,282598,7,LF,mlb,hitting,2002-09-10T00:00:00,2007-03-29T00:00:00,Signed,MIN,2007-03-29T00:00:00,LAD,lan,119,Los Angeles Dodgers,R,,220
9,Y,25,S,Miami,USA,1994-06-04T00:00:00,FL,,,,,,,col,M,6,5,"Christopher Columbus, Miami, FL",62,Yency Almonte,Yency Almonte,"Almonte, Yency","Almonte, Yency",Almonte,Almonte,Yency,"Almonte, Yency",Almonte,,,Showtime,,,Yency,622075,1,P,min,pitching,2018-06-21T00:00:00,2016-11-18T00:00:00,Active,A,2019-08-14T00:00:00,COL,col,115,Colorado Rockies,R,,217
